66165,68100,90569,99964,79857,86302,86689,97967,79613,78555,85895,99232,82586,79264,87218,97301,69789,69059,78478,86321
66160,68084,90569,99964,79859,86301,86694,97972,79618,78571,85903,99225,82586,79264,87227,97302,69769,69063,78478,86309
66149,68081,90571,99960,79854,86298,86694,97962,79618,78571,85903,99225,82573,79233,87219,97306,69769,69063,78478,86309
66153,68071,90580,99967,79855,86291,86683,97941,79629,78586,85899,99231,82564,79223,87219,97306,69779,69070,78477,86311
66153,68071,90579,99948,79855,86291,86678,97949,79616,78569,85894,99232,82554,79213,87218,97292,69781,69058,78478,86310
66138,68043,90579,99962,79844,86289,86678,97949,79627,78571,85897,99234,82554,79213,87223,97291,69778,69065,78470,86308
66131,68039,90579,99962,79833,86277,86685,97942,79630,78590,85897,99234,82556,79186,87221,97284,69766,69063,78472,86310
66129,68031,90580,99957,79851,86274,86687,97951,79630,78590,85921,99229,82537,79179,87222,97291,69766,69063,78472,86310
66132,68034,90579,99956,79839,86271,86689,97943,79635,78595,85896,99237,82546,79154,87222,97291,69782,69072,78475,86314
66132,68034,90568,99934,79839,86271,86689,97943,79637,78592,85904,99236,82543,79137,87214,97286,69780,69062,78481,86307
66128,68024,90572,99960,79844,86276,86677,97932,79636,78594,85906,99246,82543,79137,87214,97287,69776,69083,78470,86309
66114,68031,90572,99960,79843,86260,86682,97937,79615,78600,85906,99246,82529,79136,87203,97267,69785,69091,78473,86309
66117,68034,90571,99963,79843,86264,86680,97937,79615,78600,85911,99245,82512,79111,87209,97279,69785,69091,78473,86309
66117,68034,90578,99960,79844,86268,86689,97944,79636,78612,85909,99235,82524,79094,87209,97279,69779,69064,78478,86295
66127,67997,90584,99958,79844,86268,86689,97944,79644,78618,85906,99240,82510,79096,87209,97272,69781,69086,78470,86307
66116,68013,90580,99958,79839,86267,86690,97937,79644,78613,85900,99237,82510,79096,87207,97276,69787,69087,78473,86309
66111,68011,90580,99958,79851,86258,86682,97925,79638,78610,85900,99237,82511,79078,87208,97269,69791,69100,78475,86305
66110,68023,90574,99965,79841,86247,86681,97925,79638,78610,85901,99242,82505,79070,87208,97272,69791,69100,78475,86305
66110,68023,90566,99952,79836,86259,86679,97923,79654,78631,85906,99242,82495,79050,87208,97272,69779,69106,78474,86318
66130,68018,90585,99963,79836,86259,86679,97923,79661,78634,85906,99237,82492,79048,87212,97266,69796,69092,78484,86313
66110,68010,90579,99952,79834,86254,86681,97929,79647,78633,85902,99240,82492,79048,87202,97268,69790,69108,78473,86298
66107,68017,90579,99952,79846,86247,86683,97916,79652,78636,85902,99240,82490,79036,87207,97262,69790,69108,78465,86297
66113,68008,90574,99972,79841,86238,86680,97915,79652,78636,85913,99238,82491,79029,87203,97266,69790,69096,78465,86297
66113,68008,90573,99980,79832,86254,86670,97922,79654,78654,85905,99252,82482,79014,87203,97266,69799,69107,78470,86312
66110,68024,90581,99959,79832,86254,86670,97922,79657,78638,85907,99268,82480,79010,87208,97258,69795,69111,78470,86309
66124,68043,90581,99959,79832,86247,86680,97908,79657,78654,85898,99249,82480,79010,87198,97260,69800,69115,78475,86308
66120,68036,90575,99971,79834,86250,86670,97906,79662,78663,85898,99249,82482,79016,87204,97263,69800,69115,78455,86307
66124,68043,90578,99959,79834,86229,86678,97901,79662,78663,85907,99252,82488,79019,87198,97247,69794,69124,78455,86307
66124,68043,90579,99968,79839,86241,86671,97919,79665,78669,85904,99243,82469,78982,87198,97247,69801,69114,78474,86308
66118,68043,90571,99968,79839,86241,86671,97919,79655,78669,85916,99251,82470,78999,87200,97253,69799,69124,78469,86309
66124,68042,90571,99968,79837,86243,86666,97910,79676,78680,85906,99247,82470,78999,87194,97247,69794,69128,78473,86295
66120,68042,90586,99966,79837,86230,86669,97908,79676,78680,85906,99247,82474,78993,87195,97259,69794,69128,78466,86309
66129,68067,90573,99961,79820,86228,86673,97892,79685,78688,85913,99256,82473,78997,87195,97259,69811,69126,78466,86309
66129,68067,90582,99953,79834,86219,86660,97894,79678,78698,85919,99253,82474,78977,87199,97256,69801,69132,78472,86303
66125,68068,90587,99966,79834,86219,86660,97894,79675,78687,85911,99244,82459,78973,87194,97248,69799,69118,78472,86304
66134,68067,90587,99966,79836,86238,86669,97892,79690,78679,85908,99250,82459,78973,87206,97248,69806,69142,78480,86293
66147,68070,90575,99958,79832,86221,86677,97894,79690,78679,85908,99250,82460,78969,87184,97254,69806,69142,78480,86293
66135,68079,90576,99960,79827,86231,86662,97893,79688,78688,85926,99244,82454,78974,87184,97254,69805,69141,78472,86309
66135,68079,90572,99958,79841,86226,86658,97876,79675,78680,85911,99252,82460,78965,87189,97243,69815,69150,78473,86311
66147,68094,90575,99959,79841,86226,86658,97876,79682,78680,85912,99254,82454,78971,87193,97246,69814,69131,78472,86304
66141,68095,90575,99959,79831,86233,86662,97881,79688,78686,85915,99255,82454,78971,87197,97235,69807,69142,78467,86301
66139,68096,90583,99959,79835,86227,86665,97877,79688,78686,85915,99255,82461,78970,87192,97245,69807,69142,78467,86301
66129,68106,90571,99958,79825,86233,86661,97868,79683,78681,85910,99262,82461,78974,87192,97245,69827,69151,78474,86306
66129,68106,90580,99944,79846,86219,86657,97874,79670,78679,85909,99250,82462,78980,87191,97236,69804,69155,78471,86307
66156,68120,90567,99963,79846,86219,86657,97874,79680,78674,85905,99259,82450,78972,87197,97235,69805,69148,78470,86316
66155,68111,90567,99963,79834,86230,86663,97875,79678,78669,85909,99249,82450,78972,87181,97231,69811,69155,78464,86309
66163,68126,90576,99959,79811,86201,86662,97871,79678,78669,85909,99249,82455,78960,87184,97232,69811,69155,78464,86309
66165,68132,90582,99955,79847,86225,86662,97850,79664,78657,85911,99257,82460,78960,87184,97232,69819,69163,78480,86308
66165,68132,90580,99941,79847,86225,86644,97864,79653,78668,85909,99239,82451,78960,87179,97233,69826,69167,78471,86316
66162,68151,90563,99955,79834,86226,86644,97864,79671,78646,85906,99247,82464,78960,87187,97244,69821,69166,78463,86306
66174,68149,90563,99955,79830,86244,86657,97872,79646,78643,85906,99247,82464,78960,87186,97228,69819,69174,78482,86312
66181,68154,90576,99949,79837,86232,86655,97869,79646,78643,85917,99248,82451,78957,87182,97243,69819,69174,78482,86312
66174,68166,90578,99959,79837,86241,86659,97856,79636,78636,85910,99240,82443,78952,87182,97243,69820,69179,78467,86306
66174,68166,90568,99963,79837,86241,86659,97856,79655,78603,85901,99230,82445,78965,87189,97226,69821,69176,78473,86305
66172,68162,90569,99967,79854,86242,86652,97851,79621,78594,85897,99233,82445,78965,87177,97225,69821,69183,78468,86305
66174,68182,90569,99967,79850,86233,86660,97855,79614,78586,85897,99233,82457,78949,87185,97209,69824,69181,78471,86309
66189,68191,90579,99969,79858,86236,86658,97854,79614,78586,85912,99248,82439,78939,87191,97226,69824,69181,78471,86309
66191,68189,90576,99959,79851,86248,86652,97856,79611,78564,85913,99238,82443,78945,87191,97226,69828,69190,78477,86309
66191,68189,90580,99956,79851,86248,86652,97856,79599,78539,85913,99230,82443,78944,87173,97218,69828,69182,78474,86312
66184,68206,90563,99957,79853,86241,86654,97850,79592,78513,85904,99249,82443,78944,87179,97222,69831,69204,78471,86310
66197,68211,90563,99957,79843,86234,86651,97857,79576,78495,85904,99249,82442,78919,87184,97212,69830,69201,78469,86314
