49871,50694,49847,47906,48847
49855,50607,49847,47927,48951
49869,50599,49839,47967,48911
49855,50703,49847,47622,48775
49831,50818,49837,47783,48962
49871,50815,49847,47670,49047
49895,50711,49847,47599,49085
49295,50637,49855,47671,48943
49863,50818,49839,47846,49295
50018,50886,49823,47775,48919
49958,50759,49846,47839,49055
49935,50701,49919,48019,49149
49951,50719,50231,47750,49018
49943,50591,50169,47682,49046
49935,50631,50231,47759,48919
49914,50671,50239,47639,48941
49887,50655,50215,47949,49175
49919,50679,50247,47725,49106
49663,50751,50221,47823,49071
49671,50679,50237,47863,48957
49591,50886,49702,47906,48855
49567,50655,49702,47879,49103
49575,50623,50169,47687,49261
49619,50783,50079,47746,48863
49531,50647,49991,47830,49079
49511,50679,49975,47735,48959
49549,50759,49967,47735,48930
49543,50647,49959,47703,49145
49487,50735,49951,47770,49167
49478,50551,49959,47815,48911
49479,50847,49943,47965,48919
49471,50695,49959,47759,48839
49311,50743,49959,47751,48847
49303,50703,49975,47783,48975
49311,50727,49959,47783,48879
49319,50735,49975,47846,48919
49319,50591,49965,47807,48807
49311,50679,49965,47837,49111
49351,50695,49959,47815,48951
49335,50735,49965,47718,48695
49239,50743,49967,47778,48829
49223,50847,49975,47695,48871
49213,50807,49975,47863,48770
49207,50663,49959,47991,48701
49250,50733,49935,48015,48831
49239,50815,49847,47770,48831
49255,50871,49782,47743,48847
49255,50559,50055,47775,48890
49250,50847,49990,47847,49021
49239,50679,49983,47783,48767
49250,50694,49975,47746,48999
49239,50591,49959,47759,48975
49247,50687,49958,47935,49039
49223,50669,49954,47719,48998
49247,50847,49927,47703,49079
49247,50623,49927,47811,49055
49255,50831,49927,47831,48967
49255,50711,50167,47847,48911
49247,50639,50275,47727,48999
49239,50703,50175,47719,48943
49263,50655,50166,47711,48631
49263,50823,50143,47927,48994
49282,50759,50147,47751,49095
49282,50759,50135,47682,48967
49378,50845,50109,47647,48982
49343,50799,50079,47926,49047
49327,50882,50047,47671,49095
49335,50543,50063,47703,49094
49319,50655,50079,47751,48994
49319,50733,50087,47687,49026
49319,50663,50087,47783,49007
49319,50823,50079,47799,48791
49335,50663,50087,47719,48815
49319,50691,50082,47703,49327
49311,50647,50063,47878,49058
49327,50567,50087,47695,48870
